iter	Passed	Remaining
252	875	2584
253	879	2582
254	882	2577
255	884	2571
256	888	2567
257	893	2568
258	896	2565
259	899	2559
260	904	2559
261	906	2552
262	910	2552
263	917	2557
264	921	2555
265	923	2548
266	925	2541
267	927	2533
268	929	2525
269	931	2518
270	933	2511
271	935	2504
272	938	2498
273	941	2493
274	950	2506
275	956	2508
276	959	2503
277	963	2502
278	967	2500
279	972	2500
280	978	2504
281	982	2501
282	987	2502
283	991	2498
284	993	2493
285	997	2490
286	1000	2484
287	1002	2477
288	1004	2470
289	1006	2464
290	1009	2458
291	1011	2452
292	1013	2446
293	1015	2439
294	1017	2431
295	1019	2424
296	1021	2418
297	1023	2411
298	1025	2405
299	1029	2402
300	1067	2479
301	1089	2517
302	1094	2518
303	1098	2515
304	1102	2512
305	1105	2506
306	1107	2500
307	1110	2495
308	1113	2489
309	1115	2483
310	1119	2479
311	1121	2473
312	1124	2468
313	1128	2464
314	1132	2463
315	1137	2463
316	1161	2503
317	1169	2508
318	1175	2509
319	1182	2512
320	1185	2506
321	1188	2501
322	1190	2495
323	1192	2488
324	1196	2484
325	1214	2511
326	1217	2506
327	1236	2534
328	1268	2587
329	1272	2582
330	1277	2581
331	1283	2582
332	1288	2580
333	1297	2588
334	1302	2584
335	1304	2577
336	1349	2655
337	1354	2652
338	1360	2652
339	1364	2648
340	1367	2642
341	1408	2709
342	1411	2702
343	1414	2697
344	1417	2691
345	1423	2690
346	1427	2686
347	1430	2680
348	1435	2677
349	1439	2672
350	1442	2667
351	1447	2663
352	1451	2659
353	1454	2654
354	1457	2647
355	1485	2687
356	1489	2682
357	1492	2676
358	1495	2669
359	1503	2672
360	1508	2670
361	1512	2666
362	1528	2683
363	1532	2678
364	1536	2673
365	1539	2667
366	1544	2663
367	1547	2657
368	1550	2651
369	1553	2645
370	1557	2641
371	1563	2640
372	1566	2633
373	1569	2626
374	1572	2621
375	1577	2617
376	1579	2610
377	1582	2603
378	1586	2599
379	1591	2596
380	1597	2595
381	1600	2590
382	1608	2590
383	1612	2586
384	1615	2580
385	1618	2574
386	1623	2571
387	1627	2566
388	1630	2560
389	1634	2555
390	1636	2548
391	1639	2543
392	1642	2536
393	1644	2530
394	1647	2523
395	1650	2516
396	1652	2509
397	1654	2503
398	1660	2501
399	1672	2508
400	1676	2504
401	1683	2504
402	1689	2502
403	1693	2497
404	1699	2496
405	1702	2491
406	1705	2485
407	1714	2487
408	1717	2481
409	1719	2474
410	1722	2469
411	1726	2464
412	1728	2457
413	1731	2450
414	1734	2444
415	1736	2437
416	1738	2431
417	1742	2426
418	1744	2419
419	1746	2411
420	1748	2404
421	1752	2400
422	1755	2394
423	1757	2388
424	1760	2382
425	1764	2376
426	1766	2370
427	1768	2362
428	1770	2356
429	1772	2350
430	1775	2343
431	1777	2336
432	1779	2330
433	1782	2324
434	1783	2317
435	1786	2310
436	1788	2304
437	1790	2297
438	1793	2291
439	1794	2284
440	1797	2277
441	1799	2271
442	1802	2265
443	1804	2259
444	1806	2253
445	1809	2247
446	1811	2240
447	1813	2234
448	1815	2227
449	1817	2221
450	1820	2215
451	1822	2209
452	1824	2203
453	1826	2196
454	1828	2190
455	1830	2184
456	1833	2178
457	1835	2172
458	1837	2165
459	1839	2159
460	1841	2153
461	1843	2147
462	1846	2141
463	1848	2135
464	1850	2128
465	1852	2123
466	1854	2116
467	1856	2110
468	1858	2103
469	1860	2098
470	1863	2092
471	1865	2086
472	1867	2080
473	1869	2074
474	1871	2068
475	1872	2061
476	1875	2056
477	1878	2050
478	1880	2044
479	1881	2038
480	1883	2032
481	1885	2026
482	1887	2020
483	1890	2014
484	1892	2009
485	1894	2003
486	1896	1997
487	1899	1992
488	1901	1986
489	1903	1981
490	1906	1976
491	1908	1970
492	1910	1964
493	1912	1959
494	1914	1953
495	1916	1947
496	1918	1941
497	1920	1936
498	1923	1930
499	1924	1924
500	1926	1918
501	1928	1913
502	1930	1907
503	1933	1902
504	1935	1897
505	1937	1891
506	1939	1886
507	1941	1880
508	1943	1875
509	1946	1869
510	1948	1864
511	1950	1859
512	1953	1854
513	1955	1848
514	1957	1843
515	1959	1837
516	1961	1832
517	1963	1826
518	1965	1821
519	1968	1816
520	1970	1811
521	1972	1806
522	1974	1801
523	1977	1796
524	1979	1790
525	1981	1785
526	1984	1781
527	1987	1776
528	1989	1771
529	1992	1766
530	1994	1761
531	1996	1756
532	1999	1751
533	2001	1746
534	2004	1742
535	2006	1737
536	2008	1732
537	2011	1727
538	2014	1722
539	2016	1717
540	2019	1713
541	2022	1708
542	2024	1704
543	2027	1699
544	2029	1694
545	2031	1689
546	2033	1684
547	2035	1678
548	2037	1673
549	2039	1669
550	2042	1664
551	2045	1660
552	2048	1655
553	2050	1650
554	2052	1645
555	2054	1641
556	2057	1636
557	2060	1632
558	2062	1627
559	2064	1622
560	2066	1617
561	2068	1612
562	2071	1607
563	2073	1602
564	2076	1598
565	2078	1593
566	2080	1588
567	2082	1584
568	2085	1579
569	2087	1575
570	2089	1570
571	2091	1565
572	2094	1560
573	2097	1556
574	2100	1552
575	2112	1554
576	2114	1549
577	2116	1545
578	2118	1540
579	2121	1535
580	2123	1531
581	2125	1526
582	2128	1522
583	2130	1517
584	2132	1512
585	2133	1507
586	2136	1503
587	2139	1499
588	2143	1495
589	2146	1491
590	2148	1486
591	2150	1482
592	2153	1477
593	2155	1473
594	2157	1468
595	2160	1464
596	2162	1459
597	2165	1455
598	2168	1451
599	2170	1447
600	2173	1442
601	2175	1438
602	2177	1433
603	2180	1429
604	2183	1425
605	2186	1421
606	2188	1416
607	2191	1412
608	2193	1408
609	2196	1404
610	2199	1400
611	2203	1396
612	2206	1392
613	2208	1388
614	2210	1383
615	2212	1379
616	2214	1374
617	2216	1370
618	2219	1365
619	2221	1361
620	2223	1357
621	2226	1352
622	2228	1348
623	2231	1344
624	2233	1339
625	2235	1335
626	2238	1331
627	2241	1327
628	2243	1323
629	2244	1318
630	2246	1313
631	2248	1309
632	2250	1305
633	2253	1300
634	2255	1296
635	2258	1292
636	2260	1287
637	2262	1283
638	2264	1279
639	2267	1275
640	2268	1270
641	2270	1266
642	2273	1262
643	2275	1257
644	2276	1253
645	2278	1248
646	2281	1244
647	2283	1240
648	2285	1236
649	2287	1231
650	2289	1227
651	2291	1223
652	2293	1218
653	2296	1214
654	2298	1210
655	2300	1206
656	2302	1202
657	2304	1197
658	2305	1193
659	2307	1188
660	2309	1184
661	2312	1180
662	2314	1176
663	2317	1172
664	2319	1168
665	2321	1164
666	2324	1160
667	2326	1156
668	2328	1152
669	2330	1147
670	2332	1143
671	2334	1139
672	2336	1135
673	2339	1131
674	2341	1127
675	2344	1123
676	2346	1119
677	2348	1115
678	2349	1110
679	2351	1106
680	2354	1102
681	2356	1098
682	2358	1094
683	2359	1090
684	2361	1086
685	2363	1081
686	2365	1077
687	2367	1073
688	2369	1069
689	2371	1065
690	2373	1061
691	2375	1057
692	2377	1053
693	2379	1049
694	2381	1045
695	2383	1041
696	2386	1037
697	2387	1033
698	2390	1029
699	2392	1025
700	2394	1021
701	2396	1017
702	2398	1013
703	2400	1009
704	2402	1005
705	2404	1001
706	2407	997
707	2409	993
708	2411	989
709	2413	985
710	2415	981
711	2417	977
712	2419	973
713	2421	969
714	2423	965
715	2425	961
716	2427	958
717	2430	954
718	2432	950
719	2435	946
720	2437	943
721	2438	939
722	2440	935
723	2442	931
724	2444	927
725	2446	923
726	2448	919
727	2449	915
728	2451	911
729	2453	907
730	2455	903
731	2457	899
732	2459	895
733	2461	892
734	2463	888
735	2465	884
736	2467	880
737	2469	876
738	2471	873
739	2474	869
740	2476	865
741	2478	861
742	2480	858
743	2482	854
744	2484	850
745	2486	846
746	2488	842
747	2490	838
748	2492	835
749	2494	831
750	2496	827
751	2498	824
752	2500	820
753	2502	816
754	2504	812
755	2506	809
756	2509	805
757	2511	801
758	2513	797
759	2515	794
760	2517	790
761	2519	786
762	2521	783
763	2523	779
764	2526	776
765	2528	772
766	2530	768
767	2532	764
768	2534	761
769	2537	757
770	2539	754
771	2542	750
772	2544	747
773	2546	743
774	2549	740
775	2551	736
776	2554	733
777	2556	729
778	2559	726
779	2561	722
780	2564	719
781	2566	715
782	2568	711
783	2570	708
784	2572	704
785	2574	701
786	2576	697
787	2580	694
788	2583	690
789	2587	687
790	2589	684
791	2591	680
792	2593	676
793	2595	673
794	2597	669
795	2599	666
796	2602	662
797	2605	659
798	2607	656
799	2610	652
800	2612	649
801	2615	645
802	2617	642
803	2620	638
804	2625	635
805	2627	632
806	2629	628
807	2631	625
808	2634	621
809	2636	618
810	2639	615
811	2641	611
812	2643	608
813	2646	604
814	2648	601
815	2650	597
816	2655	594
817	2657	591
818	2659	587
819	2661	584
820	2663	580
821	2665	577
822	2668	573
823	2670	570
824	2672	566
825	2674	563
826	2676	559
827	2679	556
828	2681	553
829	2683	549
830	2686	546
831	2687	542
832	2690	539
833	2692	535
834	2694	532
835	2696	528
836	2699	525
837	2701	522
838	2703	518
839	2706	515
840	2708	512
841	2710	508
842	2713	505
843	2715	501
844	2718	498
845	2720	495
846	2722	491
847	2724	488
848	2726	484
849	2728	481
850	2730	478
851	2733	474
852	2735	471
853	2739	468
854	2741	464
855	2743	461
856	2745	458
857	2747	454
858	2749	451
859	2751	447
860	2753	444
861	2755	441
862	2757	437
863	2759	434
864	2761	431
865	2763	427
866	2764	424
867	2767	420
868	2769	417
869	2770	414
870	2773	410
871	2775	407
872	2777	404
873	2779	400
874	2781	397
875	2782	393
876	2784	390
877	2786	387
878	2788	383
879	2790	380
880	2792	377
881	2794	373
882	2795	370
883	2797	367
884	2799	363
885	2802	360
886	2804	357
887	2806	353
888	2807	350
889	2809	347
890	2811	343
891	2813	340
892	2814	337
893	2816	333
894	2819	330
895	2821	327
896	2823	324
897	2824	320
898	2826	317
899	2828	314
900	2829	310
901	2832	307
902	2834	304
903	2836	301
904	2838	297
905	2840	294
906	2842	291
907	2843	288
908	2845	284
909	2847	281
910	2850	278
911	2852	275
912	2854	272
913	2856	268
914	2858	265
915	2860	262
916	2862	259
917	2864	255
918	2866	252
919	2868	249
920	2870	246
921	2872	242
922	2873	239
923	2875	236
924	2878	233
925	2880	230
926	2882	227
927	2884	223
928	2886	220
929	2888	217
930	2890	214
931	2893	211
932	2895	207
933	2897	204
934	2899	201
935	2901	198
936	2903	195
937	2906	192
938	2908	188
939	2910	185
940	2912	182
941	2914	179
942	2915	176
943	2917	173
944	2919	169
945	2921	166
946	2923	163
947	2925	160
948	2927	157
949	2929	154
950	2931	151
951	2932	147
952	2934	144
953	2936	141
954	2938	138
955	2941	135
956	2942	132
957	2945	129
958	2947	125
959	2949	122
960	2950	119
961	2952	116
962	2955	113
963	2957	110
964	2959	107
965	2961	104
966	2963	101
967	2965	98
968	2967	94
969	2969	91
970	2971	88
971	2973	85
972	2975	82
973	2977	79
974	2979	76
975	2981	73
976	2983	70
977	2985	67
978	2987	64
979	2990	61
980	2992	57
981	2994	54
982	2996	51
983	2999	48
984	3001	45
985	3004	42
986	3006	39
987	3008	36
988	3010	33
989	3012	30
990	3014	27
991	3016	24
992	3018	21
993	3020	18
994	3022	15
995	3024	12
996	3026	9
997	3029	6
998	3032	3
999	3035	0
